Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Prix,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,Immatriculation
2998.0,1250.0,400.0,16.0,17.04,125.0,88.12,98.34,34427220.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,16749752.859122401,28607188.75370937,6e9d75e6-6385-46f8-953a-ac062e817e6d
1390.0,1500.0,200.0,16.0,10.0,90.0,76.5,75.6,16691500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,30721548.883327752,31460359.978947368,21681371.152758133,20725581.670760702,da9f9602-a32f-487f-88f0-93b382fd6695
1498.0,5000.0,250.0,16.0,10.4,110.0,76.2,81.92,19702647.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,25103235.304740407,0cf98e56-5422-4fac-9767-a23a4e21ec9d
1598.0,4250.0,151.0,16.0,10.0,82.0,79.5,80.5,14554988.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,19406938.01574803,23093078.79205999,21681371.152758133,16434021.000034105,b6a8731f-5203-40f7-b8d6-2a4c23b41560
999.0,4600.0,170.0,12.0,10.5,74.0,72.24000000000001,81.28,14020860.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,25432239.118049614,28931117.84985374,21681371.152758133,13707288.63468087,0767433a-1b48-423d-9bb6-f2b5543648c5
1149.0,4250.0,105.0,16.0,9.8,55.0,69.0,76.8,8178835.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,19406938.01574803,18940612.851445664,21681371.152758133,10072201.053018427,5ce1dc9e-1100-40e9-9620-45e49a7aff76
999.0,6000.0,170.0,12.0,10.5,92.0,72.32,84.18,18260501.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,25432239.118049614,31460359.978947368,21681371.152758133,20111375.114230692,9149492a-884c-472b-9f92-3066deddc2a3
1968.0,2480.0,360.0,16.0,16.12,110.0,85.8,93.5,34144132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,27912203.44233807,26680972.63857678,21681371.152758133,25103235.304740407,f7329e3e-cc93-4d5f-bd70-ce565002ce24
1215.0,7600.0,122.0,12.0,11.0,104.0,85.0,71.4,12017880.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16131529.103305785,12179055.950261781,12785061.217168197,16749752.859122401,22688951.77592855,68556cbc-4db8-4555-aa20-07997ac37239
1999.0,1750.0,380.0,16.0,15.5,110.0,83.0,92.35,31103609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25103235.304740407,4ecfdea3-63d0-469a-aae3-19c404c3cc97
1870.0,1880.0,245.0,8.0,18.6,70.0,79.5,95.5,18901455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,25432239.118049614,20898796.57357366,16749752.859122401,14827864.650859019,66ba5978-f9a3-4ff3-9718-7d6735419bc1
2143.0,3000.0,400.0,16.0,17.5,125.0,88.0,88.3,27574358.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,38283176.946385056,28607188.75370937,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
2148.0,1600.0,290.0,16.0,17.759999999999998,80.0,88.0,88.3,20497162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,19757982.332198568,26680972.63857678,38283176.946385056,19259934.217365295,fa6fa76e-a360-44b7-9a89-b3794f16d364
1997.0,3500.0,370.0,16.0,15.9,110.0,83.4,91.1,21999397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,25103235.304740407,39f42829-f725-4d43-bfd9-54b158e2cfd0
2996.0,2400.0,270.0,24.0,12.0,160.0,85.0,88.0,24970484.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40563542.01660886,19406938.01574803,18940612.851445664,38283176.946385056,31143880.010239292,717d6e72-a731-4934-8f2e-b4cb4e985561
2287.0,1800.0,320.0,16.0,19.0,96.0,88.0,94.0,26851950.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,21681371.152758133,26238120.616200935,115b72dd-052f-4a55-bd07-b7083ce08798
2998.0,3000.0,400.0,16.0,17.5,125.0,95.8,104.0,28089792.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,21681371.152758133,28607188.75370937,fdf49405-f747-4d44-9e06-f7e04473dbfa
1968.0,4000.0,320.0,16.0,18.5,103.0,81.0,95.5,20463779.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,21464098.990968496,1401d40e-e1bf-4271-85a7-a9f22e3b385a
1870.0,2000.0,270.0,8.0,18.3,85.0,80.0,93.0,20397013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,23871369.823646296,1fd9d158-a61e-449c-9dd1-93714c036fd2
1498.0,5000.0,250.0,16.0,11.7,110.0,86.82000000000001,94.67999999999999,28836235.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,25103235.304740407,c889beae-1d02-44f0-9605-18469e71cd03
3444.0,5590.0,600.0,24.0,10.5,307.0,86.8,85.4,82122180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39761696.631123826,50516393.43037311,31460359.978947368,38283176.946385056,31709119.326030288,c57e7ba1-7f5d-45e7-8058-54ce87237692
1598.0,3250.0,250.0,16.0,17.2,85.0,79.5,80.5,20166670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,26680972.63857678,21681371.152758133,17895679.00867828,e5dff730-e7d9-4079-820c-1aaaa740255e
1461.0,1750.0,240.0,8.0,15.2,81.0,76.0,80.5,19529055.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,27912203.44233807,26680972.63857678,21681371.152758133,16434021.000034105,156933b6-ba16-47b2-93e3-a82471629fe1
2179.0,1750.0,400.0,16.0,14.8,129.0,85.0,96.0,21698950.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23072341.52934103,29605294.06194205,26680972.63857678,21681371.152758133,24288583.645163212,2ff46b5c-c763-4be8-8844-5ee336efc404
1870.0,2000.0,270.0,8.0,18.3,88.0,80.0,93.0,15723393.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,19422344.035949055,e416bfac-0b89-4480-b85d-48e0ce816c9c
1598.0,4400.0,250.0,16.0,16.5,77.0,79.5,80.5,15015673.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,16161155.272758422,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
