Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Prix,Immatriculation
3.8,98.0,4.4,3.4,19963034.0,ec139903-d7d3-4e58-8ab3-cef614b70da8
7.2,189.0,7.1,4.96,37756173.0,6020639d-a47e-4676-895b-874ed05f3121
4.0,92.0,4.7,3.6,12251561.0,70a07920-e6de-4166-9818-7b167e61a280
8.3,197.0,11.7,6.4,17626224.0,ea1ddced-e98e-47ef-b903-063a7ac00413
8.6,204.0,12.0,6.6,26105506.0,66de1e9a-1e69-436f-bc0d-98d9526873e4
5.8,154.0,6.9,5.2,25471229.0,36d128c3-d98c-45c0-9539-98a55eeabdac
5.2,119.0,6.4,4.5,15626582.0,a392c620-b02f-4cb9-b538-8ac8824bc6e6
5.9,154.0,7.0,5.2,54741443.0,02f48181-f2f3-4779-be85-61a8fc762f5f
11.4,260.0,15.6,9.0,121781184.0,af77236f-d3a2-45d6-ad1f-26d0c690742e
5.3,138.0,6.7,4.5,19562438.0,21199fd2-bc1d-4005-a356-3c3fc414839d
5.9,155.0,7.5,5.0,30411913.0,219447a4-c7f2-4912-bf7a-94c5233e0333
5.7,131.0,7.5,4.5,20437073.0,189d5c95-244b-4d2f-8911-f300e1fa191a
6.5,149.0,8.1,5.5,29897815.0,19ff84bb-5274-476a-8c3f-018de4d1ff81
4.9,130.0,5.5,4.6,16451142.0,6a0187a7-71a5-486e-b058-19a241998cef
4.3,99.0,5.1,3.8,7344260.0,f47a8e8a-a828-49e6-ac91-58e78fdef7e8
2.66,61.0,8.420000000000002,5.28,1468184.0,b840e5e5-0d85-450f-8de1-5e92d55818b0
8.6,227.0,11.2,7.1,22917430.0,f2ad4c98-bd61-4709-ac79-5c16569114bc
4.5,118.0,7.859999999999999,5.26,22466759.0,18e0062d-2b27-49ca-9887-c2f5b0dab892
8.8,222.0,10.7,6.2,30359836.0,1e606d41-0a97-4e26-a655-9ff85b898a21
8.0,192.0,10.9,6.4,16491202.0,9c30b412-a7ae-4420-ba07-5caf62da2fd2
9.1,207.0,12.0,7.4,102295527.0,06e6d3c2-8983-44e1-81b3-42b5f899a641
7.9,189.0,11.2,6.0,16624734.0,71f1c701-555b-41f1-a4c7-7917eafe88b8
4.7,124.0,5.0,4.5,21632184.0,a30468f2-dca7-4396-b902-b45a3ee09cbd
5.6,128.0,7.2,4.5,18661097.0,372b7f1a-bfdc-4c9f-af26-ddb9bfce6cee
7.0,185.0,7.9,6.4,60757060.0,431d72cf-d33b-4e59-a5db-a2713fe1972e
5.6,129.0,6.4,5.1,12284944.0,002018e4-4332-4e6e-930f-a8807a056da6
8.4,202.0,11.4,6.6,13386583.0,50e71c91-9cff-4182-a093-f9fb3cf283ed
7.639999999999999,132.0,9.540000000000001,6.3199999999999985,26178949.0,9ad9a50c-1fe4-4294-955b-483267beb9bc
4.4,116.0,5.3,3.9,21665567.0,b953f74a-d2f5-4773-8155-e66fa37cd1fb
7.139999999999999,159.2,9.379999999999999,5.839999999999999,28252033.0,22f91632-a98f-44b2-aca9-f53c275c659e
4.6,120.0,6.88,5.56,26472719.0,04472dd9-c092-48fa-b0a0-1d13522bc67d
5.6,130.0,7.1,4.8,15990457.0,f216a8bb-9463-4dbf-b2d6-29ddb1d92110
5.8,133.0,10.8,6.18,24703420.0,a245de7e-bd66-4091-b014-f887997d5a00
4.9,111.0,5.6,4.5,24770186.0,b5e06596-6215-4f23-b39f-398e4618d63e
4.6,107.0,5.5,4.1,7177345.0,f5307e6a-0695-422d-953c-e1e328cd2fec
0.8,19.0,8.42,5.38,51810416.0,b4a83593-cb0b-4bd4-9df1-4a850ccc95fd
5.3,146.0,6.9,4.4,15155882.0,62ca7891-7e74-4f10-86ba-dfcfb65d8fbc
6.8,179.0,8.7,5.7,34952001.0,40f0e637-b871-4c5c-a6e2-f89b7d47d654
0.6,14.0,14.819999999999999,7.9399999999999995,55549312.0,be809d5d-be2a-4b69-9188-5c755655329d
5.0,132.0,6.5,4.3,13687030.0,be466093-36a3-4a4d-a5b2-1eff8daa52e0
6.659999999999999,155.4,8.940000000000001,5.34,15766123.0,17ca22b8-0a7f-4373-89c5-c71fdba13e4b
5.279999999999999,128.8,6.8199999999999985,4.36,9446721.0,532412d0-65cc-4bdb-a2b4-13feeddfd078
6.1,162.0,8.4,4.8,16023840.0,2fe1d8c8-c728-4221-b294-6aa6c7d58c3c
7.5,199.0,10.0,6.1,35486129.0,9c0a0ee5-6bbe-469e-a2b5-90f356d7cbd8
5.3,140.0,8.68,5.54,28375550.0,cf1140f7-17bd-4c5d-9edf-29c2970b8113
9.0,238.0,10.78,5.94,28630596.0,0ec88b57-239e-4a72-9f6c-5be0e36f6444
5.619999999999999,131.4,7.4799999999999995,4.76,6676600.0,008eea51-784f-4f16-8c86-8eaa14b0b4cd
3.2399999999999998,79.6,8.419999999999998,5.28,3734222.0,3ad7866a-29ff-455b-8b37-70f8fa6e6422
4.5,117.0,5.1,4.1,35920108.0,ecd85114-0dad-4534-927b-ebbd014f0161
3.7,95.0,4.4,3.3,23822109.0,77a1db6d-5fd1-447f-aa6e-1b81e8958b8d
6.140000000000001,153.2,8.7,5.66,17374516.0,e66a61d5-76cd-441c-9059-77288b1f63a3
6.7,177.0,9.1,5.4,31179722.0,60862240-fe81-4c77-aa64-cd0fc0297a64
4.4,117.0,5.4,3.9,22132929.0,e2628ff3-c037-4e7b-8bc6-f5a744ea7033
9.3,223.0,13.8,6.7,17325777.0,7b9bc4ff-3d7c-4907-ae2b-e760c3f160c8
6.5,172.0,7.9,5.8,10275287.0,dd5170fd-d9f4-492f-bdab-ed1f9c0feb8f
2.66,61.0,8.420000000000002,5.279999999999999,1333317.0,ed338f25-f24d-4077-84c4-909166ff7bdc
4.2,109.0,5.1,3.6,15215971.0,bb62a04b-18fa-43f9-aca0-25cbdabbd63b
6.1,162.0,6.5,5.9,27207145.0,2335ebd5-c075-4550-b19e-f057b6e768cd
3.7,85.0,6.12,4.38,7510507.0,81fb0c12-90dd-4078-b0cf-37a2e4857b7d
6.7,152.0,9.24,6.28,26506102.0,854e2605-ac7a-42c1-a8ea-be13bc5226d4
6.4,149.0,7.9,5.6,36748006.0,56dbc0ea-85a5-4d73-b82f-f73f2abd37d9
5.4,122.0,8.2,5.720000000000001,22927444.0,5fd8b1dd-be31-426d-9c76-bb9155ec1cca
7.9,187.0,10.2,6.5,17492692.0,77e38aff-eca3-4758-9905-a67fbbb14c7b
