Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
1.6Mjt12016v,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,1750.0,320.0,16.0,16.5,Euro 6,Transversale Avant,120.0,88.0,79.5,80.5,9077516f-61ed-44fc-89c1-6a03aabec79c
2.0DI170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4200.0,350.0,16.0,16.5,Euro 5,Transversale Avant,170.0,125.0,81.0,95.5,6de922b2-94d3-413b-8297-2e8c5dad89ea
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,c5997c68-c67d-467d-9651-c7b57b93623d
3.0HP170,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2998.0,1250.0,400.0,16.0,13.88,Euro 5,Transversale Avant,170.0,125.0,81.78,87.35,6e9d75e6-6385-46f8-953a-ac062e817e6d
1.4SI,Essence,Quatre cylindres en ligne,Compresseur volumétrique,Injection directe essence,1390.0,1500.0,200.0,16.0,10.0,Euro 4,Transversale Avant,122.0,90.0,76.5,75.6,da9f9602-a32f-487f-88f0-93b382fd6695
1.5FSI150,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1498.0,5000.0,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,0cf98e56-5422-4fac-9767-a23a4e21ec9d
1.616v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints séquentielle,1598.0,4250.0,151.0,16.0,10.0,Euro 5,Transversale Avant,110.0,82.0,79.5,80.5,b6a8731f-5203-40f7-b8d6-2a4c23b41560
1.0EcoB100,Essence,Trois cylindres en ligne,Turbo,Injection directe,999.0,3497.79,170.0,12.0,13.88,Euro 6,Transversale Avant,100.0,74.0,81.78,87.35,0767433a-1b48-423d-9bb6-f2b5543648c5
1.216v,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1149.0,4250.0,105.0,16.0,9.8,Euro 4,Transversale Avant,75.0,55.0,69.0,76.8,5ce1dc9e-1100-40e9-9620-45e49a7aff76
1.0EcoB125,Essence,Trois cylindres en ligne,Turbo,Injection directe essence,999.0,6000.0,170.0,12.0,13.88,Euro 6,Transversale Avant,125.0,92.0,81.78,87.35,9149492a-884c-472b-9f92-3066deddc2a3
2.0DI150,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1968.0,3497.79,360.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,f7329e3e-cc93-4d5f-bd70-ce565002ce24
1200.0,Essence,Trois cylindres en ligne,Turbo à géométrie variable,Injection électronique,1215.0,7600.0,122.0,12.0,11.0,Euro 4,Transversale Avant,141.0,104.0,85.0,71.4,68556cbc-4db8-4555-aa20-07997ac37239
d4,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1999.0,1750.0,380.0,16.0,15.5,Euro 6,Transversale Avant,150.0,110.0,83.0,92.35,4ecfdea3-63d0-469a-aae3-19c404c3cc97
1.9Di95,Diesel,Quatre cylindres en ligne,Turbo,Injection,1870.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,95.0,70.0,81.78,87.35,66ba5978-f9a3-4ff3-9718-7d6735419bc1
220CDI,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,3000.0,400.0,16.0,17.5,Euro 5,Longitudinale Avant,170.0,125.0,88.0,88.3,1d5bfcb9-f4bd-4d78-aa30-c68332dcf6ed
2.2CDI,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,2148.0,1600.0,290.0,16.0,13.88,Euro 6,Longitudinale Avant,109.0,80.0,88.0,88.3,fa6fa76e-a360-44b7-9a89-b3794f16d364
2.0EcoBlue150,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3500.0,370.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,39f42829-f725-4d43-bfd9-54b158e2cfd0
3.0i,Essence,Six cylindres en ligne,Atmosphérique,Injection multipoints,2996.0,2400.0,270.0,24.0,12.0,Euro 4,Longitudinale Avant,218.0,160.0,85.0,88.0,717d6e72-a731-4934-8f2e-b4cb4e985561
