Boite_de_vitesses,Mode_de_transmission,Prix,Immatriculation
Mécanique 6 rapports,Transmission intégrale,27207145,2335ebd5-c075-4550-b19e-f057b6e768cd
Manuelle 6,,7510507,81fb0c12-90dd-4078-b0cf-37a2e4857b7d
Automatique 8 rapports,Propulsion,26506102,854e2605-ac7a-42c1-a8ea-be13bc5226d4
Automatique à variation continue 8 rapports,Traction,36748006,56dbc0ea-85a5-4d73-b82f-f73f2abd37d9
Automatique à variation continue,Traction,22927444,5fd8b1dd-be31-426d-9c76-bb9155ec1cca
Mécanique 6 rapports,Traction,17492692,77e38aff-eca3-4758-9905-a67fbbb14c7b
Automatique à variation continue,Traction,11143245,349846ad-270b-426f-895e-148cc83d1188
Mécanique 5 rapports,Traction,8365780,ce682609-a8c2-400a-8e4b-d05d5eee8db6
Manuelle 6,,7677422,7b251ab7-f7c2-4982-ace5-9bd8af634b78
Variateur,,4339122,547361ed-4a5b-4eec-a6f9-3e2d0b258300
Mécanique 6 rapports,Traction,13880651,a7283b39-c4c4-424c-85a8-1f921d3fe56a
Mécanique 5 rapports,Traction,23775373,a8d11a2d-7221-4575-a8d1-fe740e36fe35
Mécanique 6 rapports,Traction,24289471,e84301e9-c7d2-470d-b98c-cf48a46eb950
Mécanique 6 rapports,Traction,18861395,b3cc3d62-e10b-44f4-b572-087bad8a8605
Mécanique 6 rapports,Traction,21431886,26ac640c-3fba-48d1-9c70-aecb4ecc41f6
Manuelle,,4040678,bb4b5a3e-da3a-488d-a491-142af2afc118
Mécanique robotisée 7 rapports à double embrayage,Traction,32688634,e5b24ef6-896c-4aa3-9d0c-6c95756a8d32
Automatique 5 rapports,Propulsion,26002019,889a34d7-b3df-40d0-aa76-8ea1bea2c794
Manuelle,,1421448,7bb180a7-a41f-4904-bb0e-81b54acfb05f
