Predicted,RealPrice
39597963.624384,42118663
22111864.202641,24569888
12074839.857129,11694733
28843141.781672,28073768
6424947.727640,6276004
41514519.794291,36287321
23761489.958467,23902228
19437615.978501,20530545
26004759.843185,27741273
8450086.812889,8008582
52239091.722523,43911998
21294685.674116,18981574
15522082.519008,16150695
31856882.937647,32882255
21449485.668806,21698950
29905187.560366,29347663
22710973.013211,25023897
22274826.274275,20764226
23911449.760863,21498652
22002602.814714,21198205
27986267.350201,32051686
4540992.417832,13086136
6136964.925801,6135795
18464264.795236,18227118
6888817.885506,6842847
18340093.737123,17759756
28729159.323818,29063240
27567988.836073,26405953
52558292.932291,55522606
26531377.898214,22901406
42434859.127438,39992834
16270556.071055,15766123
23431370.699740,27507592
38401889.812596,39124876
16214163.611554,15766123
17132413.962907,17526075
17631268.525277,15695351
78140208.225331,78783880
17402682.074175,18727863
19085962.877289,20129949
34957934.727030,37255428
18990531.009525,18654420
33184330.580095,31318595
20810662.717348,19829502
59744968.433490,55415780
7814958.262552,7644707
17053381.967027,17913985
11108493.654341,9807925
47595712.795962,48572265
8747543.882504,10542351
14626934.079451,14221158
1460648.176330,1468184
31027645.632815,32432252
28370155.640833,27307294
49324400.755682,46335604
27612788.285984,24412988
18621501.417074,20263481
28512888.008277,26272421
41590218.882637,40226515
8644808.922155,6675932
18776764.526703,17819845
23893036.259884,21365120
20202761.251465,18627714
16840881.563040,16925181
19902281.415471,20350277
14766687.965629,15656627
21546644.951819,22399993
28328509.125511,27481553
27677555.296824,23768696
5536130.829277,5373995
39676012.745788,48984211
20881728.299830,23247921
21867920.234689,24402973
15177190.360638,14154392
14189847.990550,13974124
19456741.734839,22633674
22036321.988657,26178949
4254306.418158,4136154
24143163.224841,25905208
14127303.143401,13613587
33899611.933832,25771676
887725.466628,594217
17042537.175103,18133646
26462766.592425,24943778
34298644.401632,32724687
11039067.850282,8759699
11547091.551887,10121726
17204582.218303,16017163
15601911.049116,15122499
17925853.491359,16590683
29351547.294540,26913375
23228907.296341,25304314
13601716.674057,13653647
21266455.768775,20530545
29760928.368276,34256299
20081025.261269,20348941
61322903.139377,56096793
34486000.098573,33017122
10738105.329899,10749326
7541945.634870,7494484
40327421.664593,49607138
28447891.155784,25029238
31348923.937434,24983837
28748095.044066,26686370
28445523.253400,29644104
12199262.663581,12658834
22619374.050657,21865865
28333028.564072,32314744
32311958.876779,32034327
19966030.228972,21932631
25800155.802566,28242018
23411824.174727,22800589
17954452.151093,23368100
12087040.311130,10745988
8356374.902084,8946644
2841200.993902,2736738
23084356.693514,20697460
5087795.377513,5140314
9594573.960313,10014232
12592320.730193,10118387
18989206.126092,17289723
21363003.774497,20234772
1474060.623716,1495558
32601758.296518,34150809
23748857.817710,22596285
25534251.540948,26372570
32357102.696781,30545445
29619361.984229,31079573
21315894.648260,20296864
21306356.737064,19295374
19899164.507468,18761246
8729266.782702,12585391
35435177.656153,37769526
24804049.284945,24796892
26771707.759392,24069143
17265229.740819,16925181
19325904.572598,18954867
23382050.322092,21131439
26028488.972477,29109976
17642235.747267,18828012
17633411.944401,15523095
12543181.675225,15282737
15514700.900975,13494744
20418760.698255,18961544
15370205.397317,18093586
32630833.945056,31438774
23173100.601958,20937818
41492155.922998,41261388
11460046.096753,10382113
60467806.838192,66549678
25179530.298194,23668547
24281632.550859,24069143
18898687.098119,19095076
13465138.241622,12284944
13843440.044161,12819072
50097532.701478,44900135
25026300.226110,20664077
33401265.444084,28108486
47059724.050759,46969881
24329200.703311,26699723
14391694.738814,16210785
19009451.710962,21932631
31578457.302367,30779126
11861206.266213,12812395
23036843.830272,23701930
43360152.394637,48398673
127027396.175871,84425607
68764842.444644,63160636
24101389.944138,21431886
9979951.986834,11384271
39306497.064771,39663010
31321964.041581,34812460
6803977.743808,6763396
37685703.440173,33182702
16167090.906225,15099131
24779738.334016,25411140
18246681.367927,18626379
10064350.067892,9614304
74063855.468081,71352824
32497629.362565,29644104
18671079.342323,19655910
8228538.249164,6469625
22028851.311244,25136731
12377734.057787,13669671
26979499.100160,24619962
9977131.553723,10948956
25546553.277796,24636654
19365417.186192,20630694
33004642.880048,34058672
29411899.544271,35052150
29732874.292704,32063704
31913418.206343,33994577
32302116.320288,31951537
10753831.201822,10442202
32407254.319768,31512217
12225191.179247,12451859
13611048.841010,13820562
13950988.000830,14758624
28200828.461203,24937101
14271668.574294,14755286
19927112.797897,19288697
31043542.131748,32519716
29502320.726843,33983894
18246369.618487,16424436
24670932.434976,25411140
8714588.781269,8599461
22105262.960064,21498652
19448060.140240,26839932
30310705.577772,30285058
24834297.217446,27247205
24033955.312559,21491975
30857964.105578,27160409
24972705.179745,24870335
15253597.263307,16424436
22275568.247975,23968994
27507213.460253,27707890
